VALUE,X,Y
295.68579102,321496.591,4383571.4
284.51101685,321768.631,4383571.4
242.79508972,322040.671,4383571.4
206.43902588,322312.711,4383571.4
353.78857422,322584.751,4383571.4
510.74047852,322856.791,4383571.4
627.64318848,323128.831,4383571.4
429.96075439,323400.871,4383571.4
421.32669067,323672.911,4383571.4
399.10403442,323944.951,4383571.4
339.96096802,324216.991,4383571.4
232.70697021,324489.031,4383571.4
171.62033081,324761.071,4383571.4
132.53637695,325033.111,4383571.4
77.91375732,317688.031,4383299.36
72.56103516,317960.071,4383299.36
83.24147034,318232.111,4383299.36
99.18293762,318504.151,4383299.36
160.865448,318776.191,4383299.36
185.8697052,319048.231,4383299.36
318.20361328,319320.271,4383299.36
474.69689941,319592.311,4383299.36
603.96209717,319864.351,4383299.36
441.82672119,320136.391,4383299.36
285.9548645,320408.431,4383299.36
208.00627136,320680.471,4383299.36
244.3793335,320952.511,4383299.36
338.94470215,321224.551,4383299.36
362.22854614,321496.591,4383299.36
351.50524902,321768.631,4383299.36
224.62120056,322040.671,4383299.36
201.02793884,322312.711,4383299.36
360.31173706,322584.751,4383299.36
484.98684692,322856.791,4383299.36
530.48693848,323128.831,4383299.36
488.78515625,323400.871,4383299.36
483.41796875,323672.911,4383299.36
387.35479736,323944.951,4383299.36
281.47088623,324216.991,4383299.36
177.52674866,324489.031,4383299.36
133.1335144,324761.071,4383299.36
134.44889832,325033.111,4383299.36
77.37652588,317688.031,4383027.32
80.48075867,317960.071,4383027.32
98.40881348,318232.111,4383027.32
126.49610901,318504.151,4383027.32
156.20149231,318776.191,4383027.32
217.29742432,319048.231,4383027.32
362.64596558,319320.271,4383027.32
429.70898438,319592.311,4383027.32
492.4520874,319864.351,4383027.32
666.31384277,320136.391,4383027.32
760.63952637,320408.431,4383027.32
327.64358521,320680.471,4383027.32
305.96679688,320952.511,4383027.32
380.75704956,321224.551,4383027.32
413.36315918,321496.591,4383027.32
328.88528442,321768.631,4383027.32
325.19659424,322040.671,4383027.32
459.35888672,322312.711,4383027.32
330.55114746,322584.751,4383027.32
256.78503418,322856.791,4383027.32
478.2666626,323128.831,4383027.32
532.25744629,323400.871,4383027.32
564.53369141,323672.911,4383027.32
342.38208008,323944.951,4383027.32
222.56497192,324216.991,4383027.32
